object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
1779952367865fd718902c7314ea4915307767e4a8a801,1779952367865-fd718902-c731-4ea4-9153-07767e4a8a80_1,1779952367865-fd718902-c731-4ea4-9153-07767e4a8a80_1,,Santa Barbara County Board of Supervisors,"First page of County Ordinance 3866, County Noise Ordinance",,,1990,,,https://www.countyofsb.org/2819/County-Ordinances-Archive,,,
1779952367865fd718902c7314ea4915307767e4a8a802,1779952367865-fd718902-c731-4ea4-9153-07767e4a8a80_2,1779952367865-fd718902-c731-4ea4-9153-07767e4a8a80_2,,Santa Barbara County Board of Supervisors,Second Page of Santa Barbara County Noise Ordinance (no. 3866),,,1990,,,https://www.countyofsb.org/2819/County-Ordinances-Archive,,,
feasantabarbaracleanup1536x1038,fea_santabarbaracleanup-1536x1038,fea_santabarbaracleanup-1536x1038,,Bob Duncan,Image of a team of workers clearing sludge and debris from the shoreline after Santa Barbara Oil Spill.,,,1969,,,https://www.sciencehistory.org/stories/magazine/richard-nixon-and-the-rise-of-american-environmentalism/,Bob Duncan,,
lmdeltopia011200x801,LMDeltopia_01-1200x801,LMDeltopia_01-1200x801,,Hilary Litton,Image of several hundred partiers crowded in a backyard and balcony overlooking the ocean with several large speakers.,,,2025,,,https://www.thechannels.org/news/2025/03/19/resources-and-precautions-for-city-college-students-ahead-of-deltopia/,,,
pg2-4120,1779955877937-72c45df6-b4f9-4a3c-b069-9e19ef5c51e2_2,1779955877937-72c45df6-b4f9-4a3c-b069-9e19ef5c51e2_2,,Santa Barbara County Board of Supervisors,Second page of SB Co. festival ordinance 1993,,,1993,,,https://www.countyofsb.org/2819/County-Ordinances-Archive,,,
screenshot-20260609-114323,DN 9/14/90,DN 9/14/90,,Daily Nexus,Clipping of Daily Nexus newspaper article covering reactions to new noise ordinance including an image of a local band.,,,1990,,,https://alexandria.ucsb.edu/lib/ark:/48907/f3p55qvh,Morgan Freeman,,
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
